"","samp_full","Pop","PopID","Region","Ecotype","label","Region_color","Ecotype_color","PopID_color","Gsub_PC1","Gsub_PC2","G_AllInv_PC1","G_AllInv_PC2","InvHclustOrder","InvHclustK5"
"21",17291,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17291","blue4","darkcyan","#006400FF",-0.0630192046203893,0.0167433846320974,0.0466462121301693,-0.0487599984750666,174,2
"22",17294,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17294","blue4","darkcyan","#006400FF",-0.0623124109778688,0.00396896037914412,0.0527427602411999,-0.0392846596607907,139,1
"23",17296,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17296","blue4","darkcyan","#006400FF",-0.0602837952934234,0.0147268643979031,0.045927435766476,-0.0474240531478907,246,2
"24",17298,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17298","blue4","darkcyan","#006400FF",-0.0645975806494221,0.0139709133925592,0.0538562384553885,-0.0616201886962024,151,2
"25",17303,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17303","blue4","darkcyan","#006400FF",-0.0661726677718104,0.00768658426092509,0.0607304125167649,-0.057464487468874,193,2
"26",17305,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17305","blue4","darkcyan","#006400FF",-0.0688563065276453,0.00587008768768534,0.0618077508773941,-0.053890520583213,223,2
"27",17306,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17306","blue4","darkcyan","#006400FF",-0.0583329607234457,0.0271203594834536,0.034524830080027,-0.00450770833792493,236,1
"28",17308,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17308","blue4","darkcyan","#006400FF",-0.0617425459371585,0.0309616315094537,0.0353420542880824,-0.00301669365456118,138,1
"29",17309,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17309","blue4","darkcyan","#006400FF",-0.0617702458157174,0.0208674386385358,0.0400297735601218,0.00721810765740476,171,1
"30",17311,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17311","blue4","darkcyan","#006400FF",-0.0685776315800205,-0.00200130644561173,0.0667485310879686,-0.0444498068753307,145,1
"31",17317,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17317","blue4","darkcyan","#006400FF",-0.0660219223496673,0.00434082875149984,0.061885044816906,-0.0577732102363633,158,2
"32",17324,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17324","blue4","darkcyan","#006400FF",-0.069668377884312,-0.00219425600941596,0.0672429469581085,-0.0475201620239755,218,1
"33",17326,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17326","blue4","darkcyan","#006400FF",-0.0505180420252076,0.0334459478946814,0.0202041132827796,0.0005134180340324,240,4
"34",17327,"Pop1","GoM.Mass.Olive.Winter","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Olive.Winter_17327","blue4","darkcyan","#006400FF",-0.0625059271878666,0.00507835751928189,0.0511231461656846,-0.0373624530541322,155,1
"35",16211,"Pop2","GoM.Mass.Red","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Mass.Red_16211","blue4","darkcyan","#FA8072FF",-0.0680122703272909,-0.00484185566622771,0.0670176947189122,-0.047528376947834,237,1
